signals at time               255415: a= 12, b=119, prod=  119, rst=0
signals at time               255495: a= 12, b=120, prod=  120, rst=0
signals at time               255575: a= 12, b=121, prod=  121, rst=0
signals at time               255655: a= 12, b=122, prod=  122, rst=0
signals at time               255735: a= 12, b=123, prod=  123, rst=0
signals at time               255815: a= 12, b=124, prod=  124, rst=0
signals at time               255895: a= 12, b=125, prod=  125, rst=0
signals at time               255975: a= 12, b=126, prod=  126, rst=0
signals at time               256055: a= 12, b=127, prod=  127, rst=0
signals at time               256295: a= 12, b=130, prod=  130, rst=0
signals at time               256375: a= 12, b=131, prod=  131, rst=0
signals at time               256455: a= 12, b=132, prod=  132, rst=0
signals at time               256535: a= 12, b=133, prod=  133, rst=0
signals at time               256615: a= 12, b=134, prod=  134, rst=0
signals at time               256695: a= 12, b=135, prod=  135, rst=0
signals at time               256775: a= 12, b=136, prod=  136, rst=0
signals at time               256855: a= 12, b=137, prod=  137, rst=0
signals at time               256935: a= 12, b=138, prod=  138, rst=0
signals at time               257015: a= 12, b=139, prod=  139, rst=0
signals at time               257095: a= 12, b=140, prod=  140, rst=0
signals at time               257175: a= 12, b=141, prod=  141, rst=0
signals at time               257255: a= 12, b=142, prod=  142, rst=0
signals at time               257335: a= 12, b=143, prod=  143, rst=0
signals at time               257415: a= 12, b=144, prod=  144, rst=0
signals at time               257495: a= 12, b=145, prod=  145, rst=0
signals at time               257575: a= 12, b=146, prod=  146, rst=0
signals at time               257655: a= 12, b=147, prod=  147, rst=0
signals at time               257735: a= 12, b=148, prod=  148, rst=0
signals at time               257815: a= 12, b=149, prod=  149, rst=0
signals at time               257895: a= 12, b=150, prod=  150, rst=0
signals at time               257975: a= 12, b=151, prod=  151, rst=0
signals at time               258055: a= 12, b=152, prod=  152, rst=0
signals at time               258135: a= 12, b=153, prod=  153, rst=0
signals at time               258215: a= 12, b=154, prod=  154, rst=0
signals at time               258295: a= 12, b=155, prod=  155, rst=0
signals at time               258375: a= 12, b=156, prod=  156, rst=0
signals at time               258455: a= 12, b=157, prod=  157, rst=0
signals at time               258535: a= 12, b=158, prod=  158, rst=0
signals at time               258615: a= 12, b=159, prod=  159, rst=0
signals at time               258855: a= 12, b=162, prod=  162, rst=0
signals at time               258935: a= 12, b=163, prod=  163, rst=0
signals at time               259015: a= 12, b=164, prod=  164, rst=0
signals at time               259095: a= 12, b=165, prod=  165, rst=0
signals at time               259175: a= 12, b=166, prod=  166, rst=0
signals at time               259255: a= 12, b=167, prod=  167, rst=0
signals at time               259335: a= 12, b=168, prod=  168, rst=0
signals at time               259415: a= 12, b=169, prod=  169, rst=0
signals at time               259495: a= 12, b=170, prod=  170, rst=0
signals at time               259575: a= 12, b=171, prod=  171, rst=0
signals at time               259655: a= 12, b=172, prod=  172, rst=0
signals at time               259735: a= 12, b=173, prod=  173, rst=0
signals at time               259815: a= 12, b=174, prod=  174, rst=0
signals at time               259895: a= 12, b=175, prod=  175, rst=0
signals at time               259975: a= 12, b=176, prod=  176, rst=0
signals at time               260055: a= 12, b=177, prod=  177, rst=0
signals at time               260135: a= 12, b=178, prod=  178, rst=0
signals at time               260215: a= 12, b=179, prod=  179, rst=0
signals at time               260295: a= 12, b=180, prod=  180, rst=0
signals at time               260375: a= 12, b=181, prod=  181, rst=0
signals at time               260455: a= 12, b=182, prod=  182, rst=0
signals at time               260535: a= 12, b=183, prod=  183, rst=0
signals at time               260615: a= 12, b=184, prod=  184, rst=0
signals at time               260695: a= 12, b=185, prod=  185, rst=0
signals at time               260775: a= 12, b=186, prod=  186, rst=0
signals at time               260855: a= 12, b=187, prod=  187, rst=0
signals at time               260935: a= 12, b=188, prod=  188, rst=0
signals at time               261015: a= 12, b=189, prod=  189, rst=0
signals at time               261095: a= 12, b=190, prod=  190, rst=0
signals at time               261175: a= 12, b=191, prod=  191, rst=0
signals at time               261415: a= 12, b=194, prod=  194, rst=0
signals at time               261495: a= 12, b=195, prod=  195, rst=0
signals at time               261575: a= 12, b=196, prod=  196, rst=0
signals at time               261655: a= 12, b=197, prod=  197, rst=0
signals at time               261735: a= 12, b=198, prod=  198, rst=0
signals at time               261815: a= 12, b=199, prod=  199, rst=0
signals at time               261895: a= 12, b=200, prod=  200, rst=0
signals at time               261975: a= 12, b=201, prod=  201, rst=0
signals at time               262055: a= 12, b=202, prod=  202, rst=0
signals at time               262135: a= 12, b=203, prod=  203, rst=0
signals at time               262215: a= 12, b=204, prod=  204, rst=0
signals at time               262295: a= 12, b=205, prod=  205, rst=0
